A1      吖阿呵啊腌锕錒
DUAN5   段耑偳剬断塅媏短缎葮椴煅瑖腶碫端褍锻篅緞縀毈簖鍛鍴斷躖籪
DUI1    垖埻堆塠搥嵟痽磓頧鎚鴭鐜
DUI4    队对兊兌兑杸祋怼陮隊敦碓綐奪對憞憝錞濧濻薱镦懟瀢瀩譈鐓譵
DUI5    对兌兑對
DUN1    吨惇敦蜳墩墪壿撴獤噸撉橔燉犜礅镦蹲蹾鐓鐜驐
DUN3    盹趸躉
DUN4    伅囤坉庉忳沌炖盾砘逇钝顿遁鈍楯腞腯頓碷遯憞潡燉踲
DUN5    伅吨囤坉庉忳沌炖盹盾砘逇钝趸顿惇敦遁鈍楯腞腯頓碷蜳遯墩墪壿憞撴潡獤噸撉橔燉犜踲礅镦蹲蹾躉鐓鐜驐
DUO1    多夛咄哆茤剟崜掇敠敪毲裰鄲嚉
DUO2    夺沰度铎剫敓敚喥痥奪跿凙踱鮵鐸
DUO3    朵朶哚垛垜挅挆埵崜缍椯趓躱躲綞亸軃鬌嚲奲
DUO4    吋驮杕刴剁枤沱陊陏饳垛垜尮挅挆柁柂柮桗堕舵媠惰詑貀隓跢跥跺飿馱墮嫷嶞憜駄墯鵽
DUO5    朵哆掇
E1      阿妸妿娿婀屙
E2      讹吪囮迗佮俄哦娥峨峩涐莪珴訛皒睋鈋锇鹅蛾磀誐鋨頟额魤騀額鵝鵞譌鰪
E3      妸枙砈娿恶惡椏閜誐噁騀
E4      厄歺屵戹岋阨呃扼苊阸呝枙砐轭咢咹哑垩垭姶峉匎唖恶敋砨砵蚅饿偔卾啈啞埡堊娾悪硆谔軛鄂阏堨堮崿惡愕湂萼豟軶遌遏鈪廅搕搤搹琧腭詻僫蝁锷魥鹗蕚遻頞颚餓噩擜覨諤閼餩鍔鳄鴳歞顎蘁櫮鰐鶚讍齃鑩齶鱷齾
E5      呃
EN1     奀恩蒽煾
EN2     唔嗯
EN3     峎嗯
EN4     嗯摁
EN5     奀峎唔恩嗯摁蒽煾
ER2     儿而児侕兒陑咡峏洏耏荋栭胹唲袻陾鸸聏輀鲕隭髵鮞鴯轜
ER3     尒尓尔而耳迩洱饵栮毦珥铒衈爾鉺餌駬嬭薾邇趰
ER4     二弍佴刵咡贰貮貳誀鉺樲髶
ER5     儿兒
FA1     发沷發酦彂廢醱
FA2     乏伐汎姂垡疺罚茷阀栰笩貶傠筏瞂罰閥撥罸橃藅
FA3     佱法砝鍅灋
FA4     发珐琺髪蕟髮
FA5     发法發髮
FAN1    帆忛犿畨番勫噃墦嬏幡憣蕃旙旛繙翻藩轓颿籓飜鱕
FAN2    凡凢凣氾匥杋泛柉矾籵钒舤烦舧舩笲釩棥渢楓煩緐樊蕃橎燔璠膰薠繁襎繙羳蹯瀪瀿礬蘩鐇蠜鷭
FAN3    犭反攵仮払返釩
FAN4    氾犯奿忛汎泛饭范贩畈訉軓婏梵盕笵販軬飯飰滼嬎範嬔瀪
FAN5    泛烦煩
FANG1   匚方邡坊妨芳枋牥祊埅钫淓蚄趽鈁鴋
FANG2   防坊妨房肪埅堏鲂魴
FANG3   仿访彷纺昉昘瓬眆倣旊眪紡舫訪徬髣鴋鶭
FANG4   放
FANG5   坊房
FEI1    飞妃非飛啡奜婓婔渄绯菲扉暃猆靟裶緋蜚霏鲱餥馡騑騛鯡飝
FEI2    肥淝萉棐腓蜰裵蟦
FEI3    朏胇胐匪诽陫奜悱菲斐棐榧翡蜚蕜誹篚
FEI4    吠芾废杮柹沸狒肺昲费俷剕厞疿屝笰紼萉費痱蜰镄墢廢蕟蕡髴曊橃癈襏鼣濷鼥櫠鯡鐨靅
FEI5    飞妃吠芾废杮柹沸狒肥肺非昲朏胇胐费飛俷剕匪厞疿诽陫啡奜婓婔屝悱淝渄笰紼绯菲萉扉斐暃棐猆腓費靟痱裶榧緋翡蜚蜰裵镄墢廢蕜蕟蕡誹髴曊橃篚霏鲱癈襏餥馡鼣濷蟦騑鼥櫠騛鯡鐨靅飝
FEN1    分吩妢帉纷芬昐氛玢砏竕衯紛翂兝棻訜酚鈖雰朆錀餴饙
FEN2    坆坟岎汾朌枌炃肦梤羒蚠蚡颁棼焚葐蒶頒馚隫墳幩濆獖蕡魵鳻橨燌燓豮鼢羵鼖豶轒鐼馩黂
FEN3    粉瞓黺
FEN4    分份坋弅奋忿秎偾愤粪僨墳幩憤魵奮橨燓膹糞鲼瀵鱝
FEN5    分
FENG1   丰风仹凨凬妦沣沨凮枫炐肨封疯盽砜風峯峰莑偑桻烽琒崶猦葑锋楓犎蜂豊熢瘋碸僼鄷鋒檒豐鎽鏠酆寷灃蘴蠭靊飌麷
FENG2   冯夆埄捀浲逢堸渢溄舽馮摓漨綘缝艂篈縫
FENG3   讽風覂唪諷飌
FENG4   凤奉甮俸桻湗焨葑煈綘缝赗鳯鳳鴌縫賵
FENG5   缝縫
FO2     仏仸佛坲
FO5     仏仸佛坲
FOU3    缶否妚芣炰缹缻雬鴀
FOU5    缶否妚芣炰紑缹缻雬鴀
FU1     夫伕邞呋妋沕姇玞肤怤柎砆胕荂衭娐尃荴旉烰琈紨趺麸稃跗鈇筟粰綒鄜孵蓲豧敷膚鳺麩糐麬麱懯璷
FU2     乀乁夫巿弗邚伏伕凫甶佛冹刜孚扶汱芙芣芾咈坿姇岪帗彿怫拂服枎泭绂绋苻茀俘垘枹柫氟洑炥玸畉畐祓罘茯郛韨鳬哹垺捊栿浮畗砩莩蚨袚匐桴涪烰琈符笰紱紼翇艴菔虙袱幅棴絥罦葍費福粰綍艀蜉辐鉘鉜颫鳧榑稪箁箙複酻韍颰幞澓蝠髴鴔諨踾輻鮄癁襆鮲黻襥韛鵩鶝
FU3     父抚甫府弣拊斧俌俛柎胕郙俯蚥釜釡捬脯辅酜椨焤盙腑鈇滏蜅腐輔嘸撫頫鬴簠黼
FU4     父讣付妇负附咐坿服竎阜驸复峊洑祔訃負赴蚥袝陚偩偪冨副婏婦捬紨蚹傅報媍富復秿萯蛗覄詂赋軵椱缚腹鲋榑禣複褔豧赙緮蕧蝜蝮賦駙縛輹鮒賻鍑鍢鳆覆馥鰒
FU5     夫父妇服婦袱傅腐
GA1     夹旮伽夾呷咖胳嘎嘠
GA2     轧钆軋尜釓嘎嘠噶錷
GA3     尕玍嘎
GA4     尬魀
GA5     尜
GAI1    侅该郂陔垓姟峐荄晐赅畡祴絯隑該豥賅賌
GAI3    忋改絠鎅
GAI4    丐乢匃匄杚芥钙盖摡溉葢鈣戤概蓋槩槪漑瓂
GAI5    盖蓋
GAN1    干甘忓芉迀攼杆玕肝坩泔矸苷乹柑玵竿虷疳酐乾桿粓釬亁凲尲尴幹筸漧鳱尶尷魐
GAN3    仠扞芉杆皯秆衦赶敢桿笴稈感澉趕橄擀篢豃簳鰔鳡鱤
GAN4    干佄旰汵盰绀倝凎淦紺詌骭幹榦檊簳贑赣贛灨
GAN5    干乾
GANG1   冈罓冮刚扛阬岗杠纲肛岡牨疘矼缸钢剛罡颃堈崗釭棡犅堽碙頏綱罁鋼鎠
GANG3   岗犺崗港溝
GANG4   岗杠钢崗掆焵焹筻槓鋼鎠戅戆戇
GANG5   冈罓冮刚扛阬岗杠犺纲肛岡牨疘矼缸钢剛罡颃堈崗掆釭棡港焵焹犅堽溝碙筻頏槓綱罁鋼鎠戅戆戇
GAO1    皋羔羙高皐髙臯滜睪槔睾膏槹橰篙糕餻櫜韟鷎鼛鷱
GAO3    夰杲菒稁搞筶缟暠槀槁獔澔稾稿镐縞藁檺藳鎬
GAO4    吿告勂诰郜峼祮祰锆筶暠禞膏誥鋯藳
GAO5    夰吿告杲勂诰郜峼皋祮羔羙高皐祰菒髙稁臯锆搞滜睪筶缟暠槀槁槔獔睾禞膏誥槹澔稾稿鋯镐橰篙糕縞藁檺藳鎬餻櫜韟鷎鼛鷱
GE1     戈仡圪屹扢犵纥戓肐牫疙咯牱紇哥格胳袼鸽割搁歌滒戨閤鴐鴚擱謌鴿鎶
GE2     呄杚佫佮匌挌茖阁革敋格胳鬲秴嘅愅搁猲臵葛蛒蛤裓隔颌嗝塥滆觡詥搿槅膈閣閤獦镉鞈韐頜骼臈諽輵擱鮥鮯鵅櫊鎘韚轕鞷騔鰪
GE3     个各合個哿盖舸葛嗰蓋鲄魺
GE4     个各吤虼個硌铬箇膈鉻獦
GE5     个疙個哥搁歌擱
GEI3    给給
GEI5    给給
GEN1    根跟
GEN2    哏
GEN3    艮
GEN4    亘亙艮茛揯搄
GEN5    跟
GENG1   更刯庚畊浭耕掶菮椩焿絙絚赓鹒緪縆羮賡羹鶊
GENG3   邢郠哽埂峺挭绠耿莄梗颈綆鲠頸骾鯁
GENG4   亙更恆堩絚暅緪縆
GENG5   亙邢更刯庚恆畊郠哽埂峺挭浭绠耕耿莄掶梗菮颈堩椩焿絙絚赓暅綆鹒緪縆羮賡鲠頸骾鯁羹鶊
GONG1   工弓公厷功共红攻杛供糼肱宫紅宮恭蚣躬龚匑塨幊愩觥躳慐魟匔碽兣篢髸觵龏龔
GONG3   廾巩汞拱唝拲栱珙嗊輁銾鞏
GONG4   共贡供羾唝貢渱嗊慐熕贑贛
GONG5   公
GOU1    勾句佝抅沟枸钩冓袧缑軥鈎搆溝鉤緱褠篝簼鞲韝
GOU3    芶岣狗苟枸玽耇耉笱耈蚼豿
GOU4    勾坸构诟购垢姤茩冓袧够夠傋訽媾彀搆詬遘鉤雊構煹觏撀覯購
GOU5    勾句佝抅沟芶坸岣构狗苟诟购垢姤枸玽耇耉茩钩冓袧够夠笱耈蚼傋缑訽豿軥鈎媾彀搆溝詬遘鉤雊構煹觏撀緱褠篝覯購簼鞲韝
GU1     估呱咕姑孤沽泒苽柧轱骨唂唃家罛鸪笟菇菰蛄嗗蓇觚軱軲辜酤毂鈲箍箛嫴篐橭鮕鴣轂
GU3     古夃扢抇汩诂谷股牯骨唃罟羖贾钴傦啒淈蛄蛊蛌尳愲焸硲詁馉鹄嗀榾毂賈鈷鼓鼔嘏榖皷鹘穀縎薣濲皼臌轂餶瀔盬瞽鵠鶻蠱
GU4     估固怘故凅顾堌崓崮梏牿棝祻雇痼稒鈷锢頋僱錮鲴盬鯝顧
GU5     咕孤股骨菇鼓
GUA1    瓜刮呱苽括胍栝铦鸹歄焻煱趏劀緺銛諣踻銽颳鴰騧
GUA3    冎叧呱剐剮啩寡踻
GUA4    卦坬诖挂啩掛罣絓罫褂詿
GUA5    冎叧瓜刮卦呱坬苽诖剐括挂胍剮栝啩掛罣铦鸹歄焻煱絓罫褂詿趏劀寡緺銛諣踻銽颳鴰騧
GUAI1   乖掴摑
GUAI3   拐枴柺罫箉
GUAI4   夬叏怪恠噲
GUAI5   拐
GUAN1   关观纶官冠覌倌矝莞萖棺蒄窤綸関瘝癏観闗鳏關鰥觀鱞
GUAN3   莞萖馆琯痯筦管輨璭舘錧館躀鳤
GUAN4   卝毌丱观贯冠泴覌婠悺惯掼涫淉貫悹祼慣摜潅遦樌盥罆雚観躀鏆懽灌爟瓘鰥矔礶鹳罐觀鑵鸛鱹
GUAN5   冠
GUANG1  光灮侊炗炚炛咣垙姯挄洸茪桄烡珖胱硄僙輄銧黆趪
GUANG3  广犷廣獷臩
GUANG4  迋俇桄逛臦廣撗櫎
GUANG5  广光灮犷迋侊炗炚炛俇咣垙姯挄洸茪桄烡珖胱逛硄臦僙輄廣銧撗黆獷臩櫎趪
GUI1    归圭妫龟佹规邽皈茥闺帰珪胿亀傀硅窐袿規媯廆椝敮瑰郌嫢摫閨鲑嬀嶲槣槻槼潙螝鳺鴂鴃璝瞡膭竃鮭龜巂歸雟鬶騩櫰瓌鬹櫷
GUI3    宄氿朹轨庋佹匦诡陒垝姽恑攱癸軌鬼庪祪匭晷湀蛫觤詭厬簋蟡
GUI4    刽刿攰昋柜炅炔攱茥贵桂桧硊規赽趹媯椢猤筀貴溎蓕跪匱瞆劊劌嶡撌槶檜瞶禬簂櫃癐襘繪鳜鞼鱖鱥
GUI5    瑰
GUN3    衮惃绲袞辊滚蓘裷滾緄蔉磙緷輥鲧錕鮌鯀
GUN4    棍棞琯睔睴璭謴
GUN5    衮惃绲袞棍棞琯辊滚睔蓘裷滾睴緄蔉磙緷輥鲧璭錕鮌謴鯀
GUO1    过呙咼埚涡郭啯堝崞渦過楇聒鈛锅墎瘑嘓彉濄蝈鍋彍蟈矌鐹
GUO2    囯囶囻国圀敋國帼掴腘幗慖摑漍聝蔮膕虢簂馘
GUO3    果惈淉猓菓馃椁褁槨粿綶蜾裹輠鍋餜鐹
GUO4    过過腂
GUO5    过過裹
HA1     妎哈铪鉿
HA2     虾蛤蝦
HA3     哈奤
HA4     哈
HA5     哈
HAI1    咍咳嗨嘿
HAI2    还郂孩骸還嚡
HAI3    海胲烸酼醢
HAI4    亥侅骇害氦絯嗐餀駭駴嚡饚
HAI5    亥还侅咍郂咳孩骇害氦海胲烸絯嗐嗨餀酼嘿骸還駭醢駴嚡饚
HAN1    佄顸哻蚶酣頇嫨谽憨馠魽歛鼾
HAN2    邗汗含汵邯函咁肣凾虷唅圅娢浛崡晗梒涵焓琀寒嵅韩椷甝筨馯榦蜬澏鋡頜魽韓
HAN3    厈罕浫喊蔊阚嚂豃闞鬫
HAN4    仠汉屽忓扞汗闬攼旱肣垾悍捍晘浛涆猂莟晥桿淊焊琀菡釬閈皔睅傼蛿颔馯撖漢蜭鳱暵熯銲鋎憾撼澣翰螒頷顄駻譀雗瀚蘫鶾
HAN5    含罕
HANG1   夯魧
HANG2   行邟吭妔苀迒斻杭绗笐航蚢颃貥筕絎頏魧
HANG4   行沆巷笐
HANG5   夯行邟吭妔沆苀迒斻杭巷绗笐航蚢颃貥筕絎頏魧
HAO1    茠蒿嚆薅薧
HAO2    号毜呺竓蚝毫椃嗥獆號貉噑虠豪嘷獋諕儫曍嚎壕濠籇蠔譹
HAO3    好郝
HAO4    号好昊昦秏哠恏悎浩耗晧淏傐皓鄗滈聕號暠暤暭澔皜皞镐曍皡翯薃皥藃鎬颢灏顥鰝灝
HAO5    号號
HE1     诃呵抲欱喝訶嗬蠚
HE2     禾合犵纥何劾咊和姀河郃峆挌曷柇狢盇籺紇阂饸哬敆核盉盍荷啝涸渮盒秴菏萂龁惒訸颌楁毼詥貈貉鉌阖鲄熆辖閡閤餄鹖麧澕頜篕翮螛魺轄餲礉闔鞨齕覈鶡皬鑉龢
HE4     吓何佫咊和抲垎贺荷袔隺寉焃喝愒湼訸賀嗃煂碋熇褐赫鹖麧鹤翯嚇壑癋謞燺爀鶡鶮鶴齃鸖
HE5     合和荷喝
HEI1    黒黑嗨嘿潶
HEI5    黒黑嗨嘿潶
HEN2    拫痕鞎
HEN3    佷很狠詪
HEN4    恨
HEN5    佷很恨拫狠痕詪鞎噷
HENG1   亨哼悙涥脝
HENG2   行佷姮恆恒桁烆珩胻鸻横橫衡鴴蘅鑅
HENG4   悙啈堼横橫
HENG5   行亨佷姮恆恒哼悙桁涥烆珩胻啈脝鸻堼横橫衡鴴蘅鑅
HONG1   叿红灴轰哄紅訇烘揈渹焢硡谾薨輷嚝鍧巆轟
HONG2   厷仜弘叿妅屸红吰呍宏汯玒纮闳宖泓玜苰垬娂洪竑紅羾荭虹浤浲紘翃耾硔紭谹鸿渱硡竤粠舼葒葓鈜閎綋翝谼潂鉷鞃魟篊鋐彋蕻霐黉霟鴻黌
HONG3   哄唝晎嗊愩
HONG4   讧哄訌閧撔澋澒銾蕻闀闂鬨鴻
HONG5   哄
HOU1    齁
HOU2    侯矦鄇喉帿猴腄葔瘊睺銗篌糇翭骺翵鍭餱鯸
HOU3    吼吽犼呴
HOU4    后郈侯厚垕後洉逅候鄇堠豞詬鲎鲘鮜鱟
HOU5    候
HU1     乊乎匢戏呼垀忽昒曶泘苸虎恗烀轷匫唿惚淲淴虖軤雽嘑寣滹雐幠戯歑糊戱膴戲謼
HU2     囫抇沍和弧狐瓳胡壶核壷斛焀虖喖壺媩搰湖猢絗葫鹄楜煳瑚瓡嘝蔛鹕鹘槲箶糊縎蝴衚魱縠螜醐頶鴩觳鍸餬礐鵠瀫鬍鰗鶘鶦鶻鶮
HU3     虍许乕汻泘虎浒俿唬萀許琥虝滸箎錿
HU4     互弖戶户戸冱冴芐帍护沍沪岵怙戽昈枑虎姱怘洿祜笏婟扈淈瓠楛嗀綔鄠雽嘑嫭嫮摢滬蔰槴熩糊魱鳸擭濩簄豰鍙嚛穫鹱觷護鳠韄頀鱯鸌
HU5     戶户乎呼忽虎胡唬葫糊
HUA1    化华吪花芲哗華蒍嘩蕐錵蘤
HUA2    划华哗姡骅華釫铧滑猾嘩搳撶劃璍磆蕐螖鋘獪豁譁鏵驊鷨
HUA4    化划华夻杹画话崋桦華婳畫嬅畵觟話劃摦槬樺粿嫿澅諙諣輠魤檴黊繣舙蘳譮
HUA5    划花话話劃
HUAI2   怀佪徊淮槐褢踝懐褱懷瀤櫰耲蘹
HUAI4   坏咶壞蘾
HUAI5   划
HUAN1   巜欢犿欥貆豩歓鴅懁鵍酄嚾孉懽獾歡貛讙驩鸛
HUAN2   汍还环郇峘洹狟荁桓萈萑堚寏絙雈睔綄羦蒝貆锾瞏阛圜寰澴缳還環豲鍰雚镮鹮糫繯轘闤鐶鬟瓛
HUAN3   睆缓輐緩攌
HUAN4   幻奂肒奐宦唤圂换浣涣烉患梙焕逭喚喛嵈愌換渙痪煥瑍綄豢漶潅瘓槵鲩擐澣瞣環藧鯇嚾轘鯶鰀讙
HUAN5   欢换換歡
HUANG1  巟肓荒衁晃朚塃慌煌
HUANG2  皇偟凰隍黃黄喤堭媓崲徨惶揘湟葟遑楻煌瑝墴潢獚锽熿璜篁艎蝗癀磺穔諻簧蟥鍠餭鳇趪韹鐄騜鰉鱑鷬
HUANG3  汻怳恍炾宺晃晄奛谎幌愰詤熀熿謊櫎皩兤
HUANG4  洸晃愰滉榥曂皝鎤皩
HUANG5  荒
HUI1    灰灳诙咴恢拻挥洃虺袆晖烣珲豗堕婎媈揮翚辉隓暉椲楎煇煒琿禈詼墮幑睳褘噅噕撝翬輝麾徽隳鼿瀈齀蘳鰴
HUI2    囘回囬佪廻廽徊恛洄茴迴烠蚘逥痐硘蛔蛕煇蜖藱鮰繢
HUI3    泋虺悔烜烠蛕毀毁螝毇檓燬譭蘬
HUI4    卉屶屷汇会讳叀沬泋哕浍绘芔荟诲恚恵桧烩贿彗晦秽喙廆惠湏溃缋翙阓匯彙彚會毀滙詯賄颒僡嘒瘣蔧誨銊圚寭慧憓暳槥潓潰蕙噦嬒徻橞殨澮獩璤薈薉諱頮檅檜燴璯篲藱餯嚖懳瞺穢繢蟪襘壞櫘繪翽譓儶譮鏸闠孈鐬靧鞼韢譿顪
HUI5    晦
HUN1    昏昬荤婚惛涽焄阍惽棔殙湣葷睧睯蔒閽
HUN2    忶浑梡珲梱混馄堚揮渾琿魂餛繉轋餫顐鼲
HUN4    诨俒浑眃倱圂婫掍涽混渾焝溷慁緄觨諢
HUN5    混
HUO1    吙剨耠锪劐嚄鍃豁穫攉騞
HUO2    佸和姡活秮秳萿趏
HUO3    火灬伙邩钬鈥漷夥
HUO4    沎和或货咟俰捇眓获閄掝焃祸貨惑旤楇湱禍腘蒦膕嚄奯擭濊濩獲霍檴謋豁雘魊矆礊穫镬嚯攉瀖耯艧藿蠖嚿曤臛癨矐鑊靃
HUO5    伙和活
JI1     几丌讥击刉叽饥乩刏圾机玑肌芨矶鸡其奇枅苙咭剞唧姬屐积笄飢基庴喞嵆嵇幾攲敧期欹犄筓缉赍嗘畸稘跻鳮僟毄箕銈嘰撃槣樭璂畿稽緝觭諅賫踑踦躸齑墼憿機激璣禨積錤隮擊磯簊羁谿賷櫅耭雞蘄譏韲鶏譤鐖饑躋鞿鷄齎羇虀鑇覉鑙齏羈鸄覊
JI2     乁亼亽及尐艻伋吉岋岌彶忣汲级即极皀亟佶郆卽叝姞急狤皍笈級革堲揤疾觙偮卙庴楖淁焏脨谻戢棘極殛湒集塉嫉嵴愱楫蒺蝍趌辑槉耤膌銡嶯潗瘠箿蕀蕺諔趞踖鞊鹡橶檝濈螏輯簎藉襋蹐鍓艥蠀籍轚鏶霵鶺覿鷑躤雦雧
JI3     几己丮妀犱纪泲虮挤济紀给脊掎済鱾幾戟給麂魢撠颳擠濟穖蟣
JI4     彐彑旡计记伎纪齐坖妓忌技汥系芰际剂季哜垍姼峜既洎济紀茍茤荠計迹剤畟紒继觊訐記偈寂寄帺徛悸旣梞済硛祭绩萕骑塈惎結臮葪蔇兾勣痵継蓟裚褀跡際鬾魝墍暨毄漃漈禝稩穊誋跽霁鲚齊暩歵瞉稷諅鲫冀劑曁禨穄縘薊襀髻嚌懠檕濟穖績罽薺覬鮆檵櫅櫭璾蹟騎鯽鵋齌廭懻癠穧糭繫蘎蟿骥鯚鯯瀱繼蘮鱀蘻霽鰶鰿鱭驥
JI5     计叽记吉纪哜紀計唧疾脊記箕嘰嚌
JIA1    加夹伽夾宊抸佳拁泇茄迦挟枷毠浃珈埉家挾浹痂梜笳耞袈傢猳葭跏嗧椵犌筴腵鉫嘉鉿擖镓糘豭貑鴐鎵麚
JIA2    夹圿夾忦扴郏荚郟饸唊恝莢戛脥袷铗戞猰蛱裌颊蛺跲餄鋏頬頰鴶鵊
JIA3    甲岬叚玾胛斚贾钾假婽徦斝椵賈鉀嘏榎槚瘕檟
JIA4    价驾架骆假嫁幏榢價稼駕駱
JIA5    甲价家價稼
JIAN1   戋奸尖幵坚歼间冿戔浅玪肩艰姦姧钘兼监堅惤淺渐猏笺菅菺豜傔揃湔溅牋犍缄葌葏鈃閒間靬搛椷椾煎瑊睷碊缣蒹豣漸監箋蔪銒樫熞緘蕑蕳鲣鳽鹣熸篯縑鋻錬艱鞬餰馢麉黚濺瀐鞯鳒殱礛覸鵳攕瀸鐗鐧鰔櫼殲纎譼鰜鶼籛韀鰹囏纖虃鑯韉
JIAN3   囝拣枧俭柬茧倹挸捡涀笕偂减剪帴梘检湕趼堿揀揃検減睑硷裥詃锏弿暕瑐筧简絸谫骞彅戩戬碱儉翦鋄險撿橏篯襔醎錽檢藆襇襉謇蹇鎆瞼礆簡繭謭鎫鬋鰎鹸鹹瀽蠒鐗鐧騫鹻籛譾襺鹼
JIAN4   见件見间侟建饯剑洊牮荐贱俴健剣栫涧珔监舰剱徤揵渐袸谏釰釼寋旔楗毽溅腱臶葥跈践锏閒間賎鉴键僣僭榗槛漸監蔪劍劎墹澗箭糋諓賤趝踐踺劒劔橺薦諫鋻鍵餞瞯瞷磵礀螹鍊鍳鞬擶檻濺繝瀳覵鏩聻艦鐧譼轞鐱鑑鑒鑬鑳
JIAN5   见見践踐
JIANG1  江姜将茳將浆畕豇葁畺摪翞僵槳漿螀壃彊缰薑橿殭螿鳉疅礓疆繮韁鱂
JIANG3  讲奖桨傋蒋勥奨奬蔣槳獎耩膙講顜
JIANG4  丬匞匠夅弜杢降将洚绛虹將浆弶強袶强絳酱摾滰嵹漿蔃犟糡醤糨醬櫤謽
JIANG5  匠
JIAO1   艽芁交郊姣娇峧挍浇茭茮骄胶敎教椒焦焳蛟跤僬嘄嘐虠鲛儌嫶嬌嶕嶣憍撟澆膠蕉骹燋膲礁穚鮫鹪簥蟭轇鐎驕鷦鷮
JIAO2   矫矯櫵嚼
JIAO3   纟糸糹臫角佼侥恔挢狡绞饺捁晈烄笅皎矫脚铰搅敥湫筊絞剿勦敫湬煍腳賋僥摷暞踋鉸餃儌劋撟撹潐徼憿敽敿缴曒璬矯皦蟜鵤繳譑蹻孂纐攪灚鱎
JIAO4   叫呌峤挍觉訆悎校珓窌笅轿较敎教覐窖覚滘較嘂嘄嘦斠漖酵噍嶠潐噭嬓徼燞獥藠趫趭轎醮嚼灂覺譥皭釂
JIAO5   纟叫艽芁交糸糹呌臫角佼侥郊姣娇峤峧恔挍挢浇狡绞茭茮觉訆饺骄悎捁晈校烄珓窌笅胶轿较敎教皎矫脚覐铰搅敥椒湫焦焳窖筊絞蛟覚剿勦敫湬滘煍腳賋跤較僥僬嘂嘄嘐嘦摷斠暞漖虠踋酵鉸餃鲛儌劋噍嫶嬌嶕嶠嶣憍撟撹潐澆膠蕉骹噭嬓徼憿敽敿燋燞獥缴膲曒璬矯礁穚鮫鹪皦簥藠蟜蟭轇鵤櫵繳譑趫趭蹻轎醮嚼孂灂覺譥鐎纐皭驕攪灚鱎鷦鷮釂
JIE1    节阶疖哜皆结袓接掲痎秸菨階喈喼嗟堦媘嫅揭椄湝結脻街裓煯節稭鞂蝔擑嚌癤謯鶛
JIE2    卪孑兯尐节讦刦刧劫岊昅刼劼杰疌衱诘拮洁狤结迼倢桀桔桝洯紒莭訐偈偼婕崨捷掶袺傑媫嵑椄結絜蛣颉嵥搩楬楶滐睫節蜐蝍詰趌跲鉣魝截榤構碣竭蓵鲒潔羯誱踕鞊頡幯擳嶻擮礍鍻鮚巀櫭蠞蠘蠽
JIE3    姐毑媎解觧飷檞
JIE4    丯介价吤妎岕庎忦戒芥屆届斺玠界畍疥砎衸诫借悈蚧唶徣堺雃楐琾蛶解觧骱犗耤誡褯魪藉繲鶛
JIE5    节结家秸傢結節稭
JIN1    巾今斤钅兓竻金釒津矜砛荕衿觔埐珒矝紟惍琎堻琻筋釿禁嶜璡鹶黅濜襟
JIN3    仅尽卺巹紧堇婜菫僅厪谨锦嫤廑漌緊蓳馑斳槿瑾儘錦謹鏱饉
JIN4    伒劤尽劲妗近进侭枃勁浕荩晉晋浸烬笒紟赆唫堇祲進煡缙臸鄑寖搢溍禁靳墐嫤慬榗瑨盡馸僸凚歏殣觐噤濅縉賮嚍壗嬧濜藎燼璶覲贐齽
JIN5    巾仅今斤钅伒劤尽劲妗近进侭兓卺枃竻金釒勁巹津浕矜砛荕荩衿觔埐晉晋浸烬珒矝笒紟紧赆唫堇婜惍琎祲菫進堻煡琻筋缙臸鄑釿僅厪寖搢溍禁谨锦靳墐嫤廑慬榗漌瑨盡緊蓳馑馸僸凚嶜斳槿歏殣瑾璡觐鹶黅儘噤濅縉賮錦嚍壗嬧濜藎燼璶襟覲謹鏱饉贐齽
JING1   仱坕坙巠京泾经茎亰秔荆荊涇粇莖婛惊旌旍猄経菁晶稉腈睛粳經兢精聙橸鲸鵛鯨鶁麖鼱驚麠
JING3   井丼阱刭坓宑汫汬肼剄穽颈景儆幜憬擏璄憼暻燝璟璥頸獷蟼警
JING4   劤劲妌陉净弪径迳俓勁浄胫陘倞凈弳徑痉竞逕婙婧桱梷殑淨竟竫脛敬痙竧葝靓傹經靖境獍誩踁靘静頚靚憼曔镜靜儬濪瀞鏡競竸
JING5   经經静靜
JIONG1  冋冏坰扃埛浻絅銄鼏駉駫蘏
JIONG3  冋冏囧昋泂炅迥侰炯逈宭浻烱絅煚窘臦颎綗僒煛熲澃燑燛褧臩顈蘏蘔
JIONG5  冋冏囧坰昋泂炅迥侰扃炯逈埛宭浻烱絅煚窘臦颎綗僒煛銄鼏熲駉澃燑燛褧駫臩顈蘏蘔
JIU1    丩勼纠朻牞究糺鸠糾赳阄萛啾揂揪揫鳩摎稵樛穋鬏鬮
JIU3    九久乆乣氿奺汣灸玖糺舏韭紤酒镹韮
JIU4    匛旧臼咎畂疚柩柾倃桕厩救就廄匓湬舅僦廏廐慦殧舊鹫鯦麔匶欍齨鷲
JIU5    究就蹴
JU1     车且凥圧伡抅車匊居拘泃狙苴驹俥俱倶挶捄疽痀眗砠罝陱娵婅婮崌据掬梮涺揟椐琚腒趄跔锔裾雎艍蜛諊踘鋦駒鮈鴡臄鞠鞫鶋
JU2     局泦侷狊郥桔毩啹淗焗菊郹椈毱湨趉锔犑輂僪粷蓻跼趜躹鋦閰橘檋駶雛鵙蹫鵴巈蘜鶪鼰鼳驧
