a 嗄啊錒锕吖呵阿腌
hua 磆黊檴花华輠繣蘳蘤划華崋畵諣璍驊話澅觟哗摦嫿蒍粿滑嬅夻吪桦諙錵釫鋘撶譁譮骅豁杹螖姡婳嘩舙槬鏵搳画蕐铧魤话畫鷨芲劃化獪猾樺
huai 槐褢蘹淮瀤褱蘾懷坏懐怀壞櫰划佪耲踝咶徊
huan 蒝肒换缳驩鬟攌歓嚾奂喚奐患鵍锾焕嵈鲩豲絙瘓萑渙犿瑍獾轘汍漶懽还痪歡酄鴅唤睔雈瞣糫懁寏巜澴煥镮鸛豩藧桓繯萈換峘環鹮闤槵豢讙欢圜幻輐愌郇還瓛睆貆环寰喛瞏鰀宦烉荁阛鯇洹逭圂鍰綄涣缓堚狟澣雚欥緩貛擐鯶浣孉羦潅梙鐶
huang 怳皇锽洸湟塃惶肓衁艎癀璜餭朚皩詤謊恍遑汻篁楻荒愰韹凰趪櫎媓簧熀騜鳇磺鍠黄巟滉曂獚墴鱑宺喤兤幌徨鰉鎤潢黃偟揘諻葟堭鐄蟥奛穔慌谎炾榥熿鷬瑝晄隍煌蝗皝崲晃
hui 褘缋煒會薉烩媈浍譭蘳翽洃毁沬囬毀哕蟪琿蜖会徻徊灰泋汇噅硘豗蔧拻嘒銊惠毇澮藱屷賄鰴匯璤詼彙噕诲蛔鞼撝瀈墮麾烜瘣慧咴鐬睳獩袆翚繢孈椲鏸齀桧翬廻譓噦挥闠廽绘槥卉回迴佪檜彗薈鼿暳辉隓贿嚖茴頮蚘徽蛕輝芔嬒靧諱悔煇蘬僡喙幑圚颒揮繪蕙顪譿楎秽燬暉燴恵恛橞诙烣廆阓溃烠詯誨虺襘灳晖檅螝儶恢彚叀寭隳恚荟檓滙逥囘晦懳珲櫘韢璯讳穢翙湏屶潰鮰譮篲憓殨婎禈壞痐餯瞺堕潓洄
hun 梡梱阍混渾棔浑昬鼲轋睯殙觨焄餫眃睧蔒忶湣諢昏珲琿魂繉緄溷荤顐婚涽葷惽圂餛倱掍揮閽堚俒慁焝诨婫馄惛
huo 锪藿秳湱腘夥货靃鑊或火貨霍漷騞焃礊禍秮鍃蒦矐镬穫謋楇剨咟眓魊檴曤奯雘耯蠖俰瀖艧嚄邩嚯濩耠鈥獲擭旤攉吙灬钬活劐沎惑濊嚿豁捇膕姡掝佸祸癨和趏閄萿臛伙矆获
ji 雧給击硛穊芰皀骑羇轚旡鑇鷑劑楫喞趞姬焏玑羁蹐嗘癠吉乁觙虮笈苙颳臮嵆墼樭禨堲畸蝍季欹辑亼忌皍跡忣躋磯鐖期叝荠蘄齊飢及韲銡妀丮戟积譏霽寂鯯峜即急塈鵋璂裚葪擊瘠暩穧蠀計鶺姼輯歵撃几績揤唧庴觊濈既鲚耭基旣鬾痵殛膌湒齐蔇罽乩賷諅隮襋犄極櫅兾伋叽結饥偮艥犱冀藉稷谿稘漃疾梞系雞际亟積賫機濟勣憿廭霵誋觭卽岋鏶懠蘎蕀戢済枅萕鷄褀敧掎淁继挤畿笄茍璣躸鸄尐驥蹟覊彶筓郆羈紀佶箿垍薺绩踦嚌鱭肌鱾穄墍棘稽襀饑槉齑跽楖簊蟣齏技岌躤紒奇泲嫉愱麂檝鹡檵踖鑙櫭剂妓芨鞊蘻洎伎偈鳮刉槣讥艻迹螏級僟鯚魝攲糭骥鮆跻瞉箕毄覉檕璾济穖缉継幾鯽坖集鍓耤剞簎繫蘮机蕺丌哜齎鲫鞿訐蟿雦虀漈籍彐魢鱀悸屐諔己齌錤瀱懻繼祭赍覬鸡卙際给刏汲谻騎脊禝嘰嶯蒺撠记潗塉茤其稩革计激嵇鰿擠銈嵴脨暨霁亽矶畟帺狤惎覿曁姞趌纪圾薊剤咭縘髻寄記橶蓟徛鰶踑汥极鶏级緝譤彑
jia 鉿跲宊擖筴葭抸嫁郟拁镓伽幏槚鎵假賈頰挾岬戛榢枷腵浹铗麚贾扴夹跏袷架斚叚價稼痂蛱梜笳脥圿頬佳莢榎胛椵徦家駕玾价忦鴶瘕毠猰骆埉貑泇耞茄夾裌颊鉀迦鴐斝嘏糘鋏荚駱郏浃蛺檟恝婽挟鵊甲傢嘉犌鉫豭袈唊珈饸猳戞钾嗧加餄驾
jian 鹻閒鏩猏榗黚鈃僣偂韉踐瞯鎆践鍊戋锏釰键鍵舰艱谏繝件槛瞼濺譾臶鉴藆鰔碱剣澗囝轞譼椾洊傔纎俴菅絸蠒姧擶檢戬趝櫼涀瀳謇戔靬殱栫趼俭揃彅儉檻熞鹹尖礛挸銒見间堿湔鋻劎荐間冿蕳熸劍艦蒹葌鳽鍳監涧錬蹇堅詃骞賤鰹劒殲瑐韀襔諓戩葥倹旔煎缣漸笕睷鹼鹸暕菺揵礆瑊醎枧袸珔鲣釼柬笺渐剪錽簡捡建僭縑鬋攕剑监蕑鳒鞯鑳奸湕剱弿徤毽螹緘跈騫梘鶼瀐墹豜惤磵姦碊覵减饯犍翦橏馢筧鐧牋鞬牮淺简楗鑑鰜检钘險囏健薦礀揀鐗橺賎襺箭帴踺籛见拣糋溅襇侟麉瀽撿腱葏餰睑瞷虃鑯幵減鵳箋検搛諫寋肩坚浅硷蔪篯豣聻覸襉谫鐱樫瀸謭裥鋄鑬繭歼椷玪鹣贱劔纖鎫鰎缄鑒茧兼餞艰
jiang 畕匞槳韁鱂强洚醬奬夅滰顜袶匠弶講降丬彊膙畺虹櫤缰浆螿醤漿將糡豇摪蔃蒋鳉耩僵翞糨姜茳讲殭蔣強嵹犟疅杢螀壃繮摾绛薑奨疆勥絳将弜桨謽礓奖酱傋江橿葁獎
jiao 教鮫敥憍灚璬轇峧鷦嶕湫嬌穚矯铰趭茭嘄蕉漖糸潐浇撹攪臫曒笅嘂较僬膲皭脚踋芁繳叫儌狡纐斠糹骹趫覚皎恔煍湬絞孂僥賋蹻晈敎鱎礁交釂餃捁嘐噍腳鵤獥校嫶嘦徼珓灂燋郊焦缴嶣較侥佼茮覺鲛烄悎挍鐎皦胶嬓譥蟜澆嚼筊燞藠绞摷滘饺角鉸跤剿訆櫵轎鹪嶠醮娇搅勦窌噭峤簥覐焳轿暞憿鷮蛟敽酵撟纟譑窖膠虠驕矫挢艽呌蟭姣骄椒劋敿敫觉
jie 檞睫砎姐嚌偼徣詰节觧岕刼楐诫捷蝔阶構堦蠽煯椄紒接秸芥礍繲嵥菨誱嫅櫭诘鞊揭偈蝍卪拮鍻疖蚧羯擳掶犗褯斺劫琾傑洯媎癤魝解楬蠞誡嶻唶鮚鞂岊節滐潔喈截掲謯孑昅耤跲脻鲒衸袺蜐哜竭訐毑婕擑吤桔介衱巀戒碣榤雃骱悈倢堺痎迼杰届魪蠘屆鉣讦蛣疥玠洁鶛結搩街湝莭劼擮藉媫皆絜家刦价忦稭幯界蓵裓嵑蛶狤階颉结踕庎刧楶趌借畍頡飷丯桝傢崨尐嗟兯袓桀疌妎喼媘
jin 今榗嶜矝浸寖凚鹶荕襟殣近瑨濅漌赆靳贐唫侭菫釒儘谨進斳勁釿珒砛婜堇烬缙僸晉进紟兓嚍璡伒觔尽祲僅緊槿藎馑覲瑾謹馸巾晋錦墐堻浕斤笒廑臸盡枃璶劲齽煡嫤溍慬钅厪津壗仅筋惍縉燼搢鏱锦嬧竻賮觐荩琎琻紧饉歏妗黅金鄑衿矜巹劤卺噤蓳埐濜禁
jing 儬鏡踁坕獍妌弳橸荊聙靚剄璥頸仱暻井颈蟼亰汬竟粇劲晶莖旍婛經旌泾誩鼱坙兢京梷涇麖秔憼幜靘逕脛经靓殑璟弪浄陉睛倞惊桱憬靖勁阱儆竸丼痉荆曔菁敬婧稉胫竫徑競迳景境镜婙穽葝猄傹竞巠鵛竧靜驚鲸鶁刭陘肼坓獷麠濪頚俓凈痙瀞擏経茎燝汫径精警劤淨粳鯨腈璄静净宑
jiong 綗昋煚冏褧絅扃囧坰颎迥炅銄鼏烱燑窘侰蘏熲炯臦蘔泂顈煛宭駉逈澃浻埛僒駫冋燛臩
jiu 韮廐救摎欍疚九揫鳩鬮阄穋就糺鹫鬏酒殧镹糾咎萛匶鸠灸鷲樛乆纠啾究久蹴丩桕赳旧倃慦乣稵臼鯦僦匓氿牞厩湬揪畂柩齨廏匛朻麔勼舊舅玖奺揂韭柾廄汣舏紤
ju 駏婮怐犑鐻怚椐欅邭犋圧聚蒟毱匊讵歫趜鵙臄踞掬橘鋸揟狙烥泃据鶋捄裾僪局澽陱车埾毩蘜醵舉且椇倨輂郹萭襷挙鋦踽焣劇锔趉愳虡埧櫸惧焗據簴壉檋俱齟驧秬崌爠椈豦居邹眗駒枸蚷昛怇岠钜驹琚遽寠伡俥詎苴砠踘粷蹫飓淗炬罝颶剧趄懅岨桔矩鴡鉏鼰拒梮咀洰距跔姖忂狊啹粔郥泦菊拘冣耟鵴龃巨具倶榘鄒鞠举锯莒沮躆挶螶筥擧鉅榉蜛抅痀閰躹巈珇跙菹聥勮柜諊鞫貗鮔凥跼鋤雛蓻郰婅娵腒屨窶侷葅窭蒩駶疽車湨涺鶪拠屦瞿艍句鮈袓鼳苣弆雎懼
juan 讂瓹鄄弮卷飬鵍蔨朘捲圏鵑羂鋗惓獧勬睊雋巻鎸蠲倦棬韏淃劵絹鐫腃呟絭焆菤悁埢裐餋鞙鹃襈捐縳桊鋑慻圈眷隽姢涓睠奍罥帣绢勌奆镌埍萒娟狷脧臇錈锩
jue 觼絕攫啳泬叏挗龣鶌瑴桷诀趹屩嶡疦欔臄蟩欮矞谲决鈌撧脚勪鴂爵獗屫矍倔憠焆駃爑矡殌撅躩覚刔绝赽趉氒噘蚗橛鴃抉訣珏橜噱腳虳蹶袦妜髉鐍觖熦埆爴潏镼夬覺孒吷決弡亅貜絶崛爝镢繘嚼逫彏角蕝捔劂鱖戄蹷玃繑傕覐孓砄瘚芵斍鐝崫玨憰譎灍嶥匷蟨蕨厥鷢玦钁掘觉璚
jun 銞珺碅峻钧鵘馂蔨龟袀蚐棞郡骏餕麏麕浚銁濬雋皹俊均鲪晙捃汮莙皸蜠军皲鋆覠箘呁埈鈞畯箟儁鵕燇駿桾攟狻鮶攈焌陖抣隽麇竣筠菌軍君姰懏鍕鵔龜葰寯
ka 衉咔呿咯卡佧鉲喀咖哢胩
kai 喫愷輆烗炌闓鎎颽剴愾鍇开嵦锴勓恺愒開垲蒈闿凱揩忾塏衉濭嘅炏鎧欬凯锎慨暟剀楷鐦奒铠噄
kan 堿瞰堪矙輱嵁轁墈顑龕凵莰槛坎轗衎崁冚闞龛砍竷戡侃刊阚輡栞惂歁偘塪勘欿檻磡埳看
kang 康扛鱇伉抗槺嵻闶炕躿粇亢鏮匟囥糠砊慷閌鈧穅邟嫝漮犺忼钪摃
kao 尻考嵪薧鲓栲洘鮳丂犒烤焅攷稾槀鯌拷靠銬铐髛
ke 碦锞窼岢頦窠溘嶱顆課颗痾搕堁棵钶课骒牁軻悈嵙剋硞礊礚柯壳呵氪髁珂胢稞尅兛苛匼趷兡磆颏磕錒兙坷屙瞌翗渴娔嵑缂疴咳揢樖峇榼客薖敤刻炣殻錁袔兞恪蝌克騍鈳砢緙科殼毼轲醘勊可蚵歁勀愙萪犐嗑
ken 墾齦龈貇肯啃裉肎豤懇褃掯肻恳硍珢錹垦
keng 鍞摼劥牼硜阬奟硻銵挳铿誙鏗妔硁坈揁坑吭
kong 矼硿鞚孔躻鵼悾涳倥羫錓恐崆椌箜控埪空
kou 剾彄扣瞉滱怐叩冦宼釦口寇筘眍窛竘蔻敂劶摳簆芤瞘抠蔲鷇
ku 堀楛狜齁矻絝嚳桍哭绔酷喾俈郀庫焅瘔鮬朏圐袴崫窋骷苦硞扝捁库搰褲枯窟趶秙胐刳裤跍
kua 跨胯姱晇舿恗挎垮絓誇顝侉銙夸骻咵
kuai 块儈會墤駃鲙圦鬠浍郐糩鱠廥会侩璯塊鄶旝蕢蒯哙擓脍凷狯澮膾快巜筷獪
kuan 梡窽款歀寬寛髋鑧欵窾宽髖
kuang 卝狂抂筺貺砿眶軠懬鵟黋匩軖懭鉱眖曠狅矌絋纊礦鑛丱旷軭圹岲框鋛劻纩矿絖鄺忹洭匡誑邝軦诓況邼哐恇爌夼昿儣穬况贶誆筐壙硄诳
kui 楑瞆戣蝰虁嬇巙櫆晆尯愦暌馈盔腃鍷饋巋蹞簣楏謉煃鍨喹亏篑岿喟匱骙葵頍騤躨聵夔欳顝蘬匮鄈睽藈窥憒頯蕢樻鐀跬隗膭傀蘷馗媿瞶奎揆逵溃籄磈虧餽鑎聩蒉犪聧愧魁胿聭歸嘳窺悝頄潰刲殨闚卼
kun 坤鶤罤綑騉崑熴稇堃堒菎晜尡錕閸悃稛硱壼昆睏锟婫鵾髡髠梱閫鲲壸瑻裈鯤潉醌裍困阃貇琨褌髨祵捆蜫餛豤頑臗涃崐鹍猑裩焜
kuo 蛞彍懖霩煀秳頢阔适拡桰鬠栝髺濶筈挄漷闊韕扩葀擴鞹括彉鞟廓萿噋
la 爉鯻邋翋拉臘菈攋鑞蝲磖搚砬喇嚹儠藞鞡蜡鬎溂臈啦癞蝋蠟柆揦旯落腊瓎垃楋辢鱲镴櫴癩辣擸剌瘌摺揧
lai 萊猍攋婡賴崃瀨赉逨琜来誺徠梾莱櫴鶆唻癩賚庲俫籟赖棶顂铼來騋瀬鯠郲錸箂癞崍淶徕勑籁睞涞藾頼鵣睐筙濑襰倈麳
lan 欄葻孏壈钄斓繿斕灡韊嵐爁籣藍嬾糷礷燣灠讕鑭栏覧烂篮攬襽顲湅兰瓓罱壏惏醂幱欗岚僋坔譋覽璼襕揽灆镧浨濫阑漤爤欖躝燗懢拦瀾厱蘭览懒澜爦儖襴擥攔缆暕孄嚂懶褴婪蓝囒滥闌蘫纜襤煉谰燷榄爛籃
lang 樃悢稂唥勆哴塱誏埌烺脼筤莨榔蒗浪琅蓈阆鎯朖艆螂蓢閬欴郞锒郎鋃硠斏郒狼俍瑯蜋桹崀廊朤啷嫏朗駺躴
lao 姥醪涝潦橯耢浶轑朥澇酪窂痨鐒佬鮱嶗耮荖硓蛯絡牢粩癆烙唠嘮狫耂躼栳軂憦络磱崂僗銠髝落橑咾劳铑簩労铹老嗠嫪蟧珯恅撈勞哰捞憥顟
le 楽了鰳鳓叻玏樂牞仂簕艻勒忇肋韷扐阞泐竻砳嘞乐氻
lei 讄诔癗鐳鑘颣纝傫壘瓃類灅酹罍矋蘱樏蕾櫑蘽塁淚勒鱩羸絫藟蠝儡鼺禷檑轠靁纍祱涙耒镭腂壨瘣儽磊銇櫐頛畾泪洡鸓肋雷擂蔂嘞礧蘲累磥鑸缧誄厽欙类纇礨礌虆縲攂蕌垒嫘錑頪
leng 輘睖塄薐冷倰碐棱堎踜稜楞愣
li 厘鋰鱧疠粴蠡勵轹郦檪峲厉笠娌曞轢剺斄吏裡砅蠣棙櫟蚸隸櫔麜峛鱱巁砾靋劙棃攦瀝褵穲囇篱犛蘺苙凓轣锂歴盠屴蟍篥鯬刂蒞砺櫪粒唎缡粚嚦朸刕鱳礪逦慄孷荔鳨曆鴗攊礰鱺蠇粝漓力瓈俪鲤灕欐銐儷蝷禲悡喱禮蛎立擽糎剓歷嫠竰琍讈罹癘醴縭釐瓑栗栎躒欚黧蒚錅傈糲骊雳錑藜鬴荲枥犁麗黎鳢栛綟梩鲡悧俚扐豊叓裏爄李濿醨藶苈隶鋫沥鯏礼邌離皪犡励岦睝呖理历痢鏫籬蓠貍隷秝儮詈莅鉝孋莉哩嚟鸝鹂例蠫唳菞癧蔾廲樆酈瓥礫狸蜊璃囄里栵坜纚厲攭靂丽鑗鬁梨戾邐謧杝溧鎘鯉搮壢鷅利俐鵹沴爏猁盭蛠塛赲筣瓅离涖暦瑮娳疬浬跞蟸茘磿矖悷艃蜧梸珕犂厤鬲厯澧婯氂驪脷
lia 俩倆
lian 连孌嬚媡籢蘝蓮楝鏈蠊潋鍊噒慩臁濂涟蔹醶螊譧濓薕稴琏熑蘞敛廉錬歛鰱鰊覝炼匳蹥薟劆櫣奁斂殮奩嫾澰溓裢縺浰殓练怜簾裣聮镰梿亷燫嗹槤鲢攣連磏莲萰湅褳链臉纞璉鬑戀鎌摙堜鐮脸翴恋聯襝瑓帘憐聨僆練联匲謰籨鄻羷漣煉聫瀲
liang 辌悢良两晾鍄哴啢靚粮脼莨量谅喨掚輛唡墚兩煷魉樑両魎糧涼俍輬粱椋綡輌亮緉冫蜋靓倆俩凉踉倞辆駺諒湸裲梁蜽
liao 髎潦鄝暸嘹镽賿鐐蓼憭簝繚廖辽爎镣撩了屪蹘藔撂璙廫膫療豂尞料憀樛瞭僚聊尥嶚遼爒疗獠缭飉飂嶛蟟蹽钌嫽鹩鷯炓寮釕窷蟉燎尦敹蟧寥竂嵺膋僇漻
lie 犣爉裂挒睙奊鴷捩埒綟巤猟洌獵儠劽咧棙迾毟爄躐烮鬣峢哷烈冽巁鮤姴燤列櫑脟劣挘煭猎浖忚鱲颲埓趔聗擸茢鬛蛚
lin 澟躏廩驎赁隣暽冧鄰甐綝繗廪鏻膦箖林檁痳轥臨懍临瀶躪鱗顲拎麟魿藺焛惏粦轔躙辚斴崊檩蔺恡鳞厸遴壣癝邻悋霖蹸獜璘琳瞵嶙淋粼凜癛疄橉潾懔磷啉翷吝碄撛菻賃閵燐僯晽稟亃麐凛
ling 嶺孁櫺鈴蕶舲鹷另掕瀮麢灵坽琌夌婈瓴崚皊昤鯪囹衑袊詅駖阾魿岭欞柃鸰炩羚爧鲮跉刢領霝霊秢领凌龗陵棱霛泠齡醽零笭蓤狑閝伶〇姈龄鴒玲翎靇淩霗稜棂綾錂聆燯倰澪铃彾裬菱朎輘呤軨蘦岺祾竛齢令砱酃紷蛉苓绫蔆靈
liu 磂栁瑬沠硫癅熘旈熮驑馏遛畱嚠斿鎏疁雡綹磟鹨榴畄瘤餾懰鷚绺飗蹓鐂駠珋骝鋶霤鰡桞柳碌鬸锍刘鏐鎦蓅嵧蒥騮羀廇六鹠镠橊翏橮裗劉璢罶桺飅飂陸溜澑藰媹旒瀏麍蟉镏塯駵琉鶹嬼瑠留浏流陆飀
long 咙龒漋鸗龍竉礲攏嚨笼龙眬谾壠篭槞蠬梇弄爖驡垄籠壟癃徿拢蠪聾屸硦泷隆曨寵瓏儱珑聋隴贚朧栊哢茏竜砻櫳巃躘嶐鑨垅龓礱瀧巄陇靇豅霳鏧衖湰襱胧昽矓窿蘢蕯滝
lou 嘍瘺螻喽簍鞻镂謱瞜篓漊漏嶁蔞陋髏露蒌膢髅瘻耧摟甊耬塿屚窶溇窭樓軁鏤蝼熡搂僂艛瘘慺嵝婁廔遱楼娄偻
lu 淕鹿祿甪樚錴瀘赂瓐璐擼逯穋勎嚕橹撸壚圥椂虜卤录蔍滷鸕蕗爐睩黸菉櫨錄艣嗠粶捛蘆樐硵鱳鏴氇潞盧鹭剹簵鏕彔陸觮露塷蓾纑胪輅磠綠螰颅鑥鷺籙矑娽膟謢瀂趢攄枦栌擄魯嚧櫓顱噜艪籚绿麓緑簏鵦獹蓼峍罏轳镥廘鵱賂騼坴澛鑪硉禄轤箓鏀垆簬渌玈碌鯥泸録蹗芦炉戮六鲁淥踛辂翏漉塶虂熝虏氌簶攎艫騄卢舮鱸庐魲鄜路鸬掳辘膔侓轆稑摝璷膚髗蠦鲈臚琭舻挔鐪鹵醁廬勠觻盝鴼鈩僇陆
luan 孿灓乱孌羉臡圞挛癴欒癵薍鸾卵銮峦攣娈覶灤曫脔鵉栾虊滦脟奱臠鑾鸞圝亂釠乿巒孪
lun 耣侖碖鯩陯轮圇棆倫輪腀蜦沦崘綸稐磮论惀抡崙踚仑埨掄伦論纶婨囵菕嗧溣淪錀
luo 摞蘿玀濼驘剆蝸逻覼椤罗躶絡攞覶邏蓏峈捰曪漯囉硌爍硦蜗皪犖倮癳泺笿珞雒萝箩裸瘰荦礫鸁鑼儽攭骆啰猡脶茖鵅臝儸螺鏍騾鎯烙蛒洛駱纙腡欏蠃络欙镙落砢躒骡跞鮥饠籮洜頱羅鉻捋锣
lv 箻曥穞氯馿繂屢垏绿緑蔞吕驴焒哷铝閭鷜儢呂榈缕濾膂軁嵂葎卛郘藘侣慮慺屡稆偻驢鋁褛祣褸滤爈櫖穭闾縷膢梠膐鑢綠率櫚寽絽律虑僂氀侶勴寠捋旅履
lve 锊鋢畧略稤詻寽掠剠圙鋝擽
ma 螞骂吗罵遤犘蟆傌駡蚂鷌摩鎷鰢睰瑪犸溤嫲媽馬痳杩鬕榪孖痲玛嗎祃蔴妈麻嘛抹礣码閁马禡蟇獁碼驀
mai 买嘜衇埋麥荬買勱蕒脉鷶邁佅嘪唛迈貍麦賣霾脈霡卖霢劢薶
man 蛮埋颟澷蟎漫睌熳鳗墁鄤顢悗慢曼僈樠蔓鬗屘澫姏満槾蔄鏝满慲螨矕幔滿馒蟃鏋摱缦镘谩謾蠻鬘鞔饅鰻嫚瞞獌縵瞒
mang 龒龍甿铓莽盲壾汒盳硭漭朚厖笀吂釯氓茫硥庬杧鋩恾芒狵駹忙牤蛖莾蟒哤蠎茻痝娏杗尨牻浝蘉邙
mao 芼髳笷愗嵍萺戼罞昴牦矛貓夘瑁鄚緢耄貌蝐贸犛铆暓皃酕蓩冇錨髦毷茂鉚貿眊媢泖懋秏猫峁冒楙鄮枆毣茅卯冐堥渵袤覒瞀冃帽鶜軞蟊霿毛锚蝥鉾旄氂茆
me 庅麽么麼嚜
mei 呅渼美珻郿羙謎氼昧腜酶沬矀镅嵋枚篃猸寐挴睸苺每韎瑂毎嵄脢槑煝湈徾妹莓栂沒没脄蘪媺鎇眉鶥跊眊湄魅鬽袂糜抺禖眛媒玫楣痗浼黴镁睂梅楳媄鎂葿黣堳櫗煤坆溦谜凂祙嬍塺攗鹛霉燘媚蝞鋂
men 暪悗扪鍆焖钔捫懣玧亹璊門闷怋虋门滿穈殙燜懑悶菛閅们們
meng 蕄蝱猛孟鸏懵靀庬黽掹蜢鯍夢橗矒檬霚嫇瞢勐懞蒙朦獴饛曚莔甿甍雺虻萌艨冡鯭錳礞儚鹲鼆濛懜氓霥鄸幪溕鄳矇盟擝顭瓾霿梦尨艋蠓锰夣氋
mi 弭縻鸍淧蔤敉醚蜜簚鼏檷幎蒾爢宓糸谧覔漞塓穈蘼孊麊冞尓釄祢靡密禰蓂弥濗泌尒沕謐樒祕覛戂滵渳攠眽粎瞴羃謎麋迷覓羋秘宻脒嘧眫爾瞇镾詸瓕摵榓瀰葞幂哋蔝鑖幦汨沵眯彌峚咪糜冪醾獼劘銤侎櫁猕灖熐麛濔觅谜芈米醿洣藌擟
mian 厸丏缅矏鮸牑媔汅澠蝒葂麵臱绵婂喕麫緡黾渑面俛靦靣檰嬵糆杣愐娩黽勉蠠偭麪缗緜棉芇矈腼眄綿麺沔櫋免絻眠湎緬矊勔冕
miao 鱙瞄鹋藐玅缈繆邈苗訬緢钞庙庿廟渺眇緲仯竗秒媌描缪喵杪鶓鈔妙篎淼嫹
mie 鴓咩吀幭瀎哶篾闑乜覕鱴蠛櫗烕灭孭懱眜滅搣衊薎鑖蔑
min 碈抿捪崏慜旼錉鍲怋緡岷黾暋敏罠渂忞愍民黽憫笢潣閔蠠閩勄苠闽瑉鴖冺刡闵簢皿珉琘垊鰵玟湣砇鳘敃湏缗賯呡琝緍僶姄敯旻悯痻鈱泯盿
ming 詺冥茗猽铭溟鸣明蓂鄍朙凕銘姳眳覭榠鳴命螟酩暝洺嫇眀慏佲名瞑
miu 谬缪謬繆
mo 麽饃袹貊秣馍殁謨獏貉枺歾嬷陌眿脈帓茉昩擵妺貘無粖爅耱模怽魩謩魔譕暯瞐嫫圽眜蘑莫镆没沒塻橅縸絔皌撫絈寞嘿沫无蛨膜帞艒瀎摹万冒瞙摩劘脉黙蟔尛瘼劰鏌嚤摸糢藦麼髍蓦末冐默墨磨漠狢嗼抹砞戂貃歿纆谟嫼嬤礳貈銆靺攠嚩懡莈驀饝眽
mou 瞴呣蟱某鞪繆恈牟踎謀堥谋劺敄鴾洠哞眸缪麰蛑鍪桙侔鉾
mu 姥牧娒嘸楘蚞呣牳苜畆萺莯艒穆鞪炑仫姆沐钼畞牟毣毪畒暮募氁幙母牡坶目拇鉬幕木亩墓樢模畝狇朷墲畮慕睦砪鉧霂慔雮茻呒峔縸踇胟
na 妠貀衲靹钠那詉雫蒳內軜鈉拿挐吶哪鎿呐拏納訤捺誽纳嗱魶南乸秅肭镎笝娜蒘豽袦
nai 奈耐佴鼐釢倷哪嬭乃柰氖螚妳萘艿奶疓渿耏褦錼廼迺
nan 畘萳妠枬暔男囡蝻柟莮煵婻侽赧枏娚諵喃腩难南湳嫨難揇戁攤抩楠
nang 搑蠰欜涳馕儾擃鬞囔囊攮曩齉崀饢乪灢嚢
nao 獿蝚怓恼嶩憹獶蛲垴碯鬧撓鐃铙惱詉猱巎堖嫐碙呶蟯孬闹硇婥淖閙脑臑挠腦峱匘夒譊瑙
ne 哪眲呐訥呢抐讷那
nei 娞氝浽馁餧脮哪餒腇那内內錗鮾鯘
nen 媆腝嫰嫩恁
neng 能竜
ni 匿抳铌蛪迡晲跜秜妮輗淣馜薿坭氼掜痆棿呢倪抐檷屔嫟灄籾齯埿惄拟隬泥屰孨嬺誽孴昵伲児旎霓鉨蚭尼猊腻鲵沵臡怩兒睨婗貎觬郳禰儞鑈你逆苨溺鈮膩腝聻胒柅濔暱鯢堄愵縌妳伱擬眤懝狔儗蜺麑
nian 鲇姩鮎黏焾卄秊躎跈墊哖撚輾鯰辗輦埝唸鲶捻廿涊淰蔫蹨碾辇艌念攆拈秥粘撵年簐
niang 孃醸娘酿釀
niao 鸟樢褭脲嬲蔦茑尦尿茮鳥袅溺嬝嫋裊
nie 踂孽菍喦臲臬痆棿鋷摰糵涅櫱銸枿齧揑湼镍鎳篞蠥檗鉨圼嗫糱槷踙囁孼帇顳隉鑈囓颞躡乜捏籋苶钀囐蹑蘖敜惗巕鑷啮嶭聶讘嵲踗錜嚙聂陧镊峊
nin 拰脌囜恁您
ning 宁狞泞鑏拧濘薴倿擰嚀咛寕矃澝柠聍儜佞獰侫甯凝鬤苧寧鸋檸寍嬣寗寜鬡聹橣
niu 牛汼牜怓炄杻紐靵莥鈕忸钮狃扭纽妞拗
nong 穠齈农挵燶蕽秾襛欁哝弄浓莀噥挊癑濃儂檂膿辳農脓醲侬禯
nu 駑砮努奴詉傉伖搙胬怒孥弩笯伮驽
nuan 湪煗餪暖奻煖渜
nuo 傩諾搻梛愞逽糑掿橠诺耎挪堧毭搙蹃糥郍穤袲榒锘懦搦稬喏娜懧儺鍩嶿糯
nv 女衄沑恧釹聏钕籹朒衂
nve 瘧婩虐硸疟
o 嚄噢哦
ou 殴蓲甌櫙塸敺吽藕毆鴎醧區熰腢呕歐漚膒蕅慪謳齵藲鸥鏂鷗区嘔欧吘偶澫耦怄筽沤讴瓯
pa 杷皅扒趴袙琶鈀苩筢爬妑掱怕汃钯啪帊跁帕葩舥派潖耙
pai 徘輫牌鎃箄蒎棑湃簰俳迫排拍猅犤呱簲派渒哌
pan 爿眅幋蒰縏柈萠槃乑頖磐畨拚炍番襻碆扳盘螌跘牉泮搫湴鞶判磻眫胖膰叛詊媻坢鋬袢潘鑻溿蹣沜褩瀊蹒蟠般畔盼攀冸洀鎜盤
pang 厐覫汸彷嗙雱胮夆鳑髈嫎磅逄滂篣龐螃趽舽龎胖旁耪庞镑徬霶鰟炐膖蒡膀沗肨牓乓鎊
pao 刨瓟麅麭嚗窌礟炰泡軳脬庖藨铇皰抛鞄穮跑颮疱垉謈萢炮拋麃砲爮咆狍袌鉋犥奅袍礮匏
